"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"12653001796","60235.0","2017","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57043.0","2017","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54019.0","2018","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55891.0","2018","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57075.0","2018","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56771.0","2018","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57671.0","2018","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","59683.0","2018","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55534.0","2018","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57589.0","2018","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","58521.0","2018","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","59375.0","2018","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57331.0","2018","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"2426000894","53315.0","2010","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","57870.0","2010","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61050.0","2010","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64432.0","2010","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61356.0","2010","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63232.0","2010","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62308.0","2010","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62966.0","2010","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63678.0","2010","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62545.0","2010","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59037.0","2010","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","55899.0","2011","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60040.0","2011","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62507.0","2011","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64995.0","2011","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62031.0","2011","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61002.0","2011","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59374.0","2011","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63391.0","2011","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","65227.0","2011","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62922.0","2011","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61010.0","2011","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","56588.0","2012","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","57079.0","2012","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61035.0","2012","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60258.0","2012","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59309.0","2012","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60723.0","2012","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","57970.0","2012","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63295.0","2012","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62897.0","2012","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61916.0","2012","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59692.0","2012","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","53821.0","2013","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","58047.0","2013","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","57476.0","2013","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61245.0","2013","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61014.0","2013","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62000.0","2013","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64050.0","2013","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
